iter	Passed	Remaining
722	516300	6624789
723	517099	6625158
724	517811	6624420
725	518562	6624171
726	519318	6623988
727	520079	6623876
728	520818	6623465
729	521554	6623022
730	522320	6622963
731	523109	6623189
732	523801	6622190
733	524514	6621456
734	525295	6621585
735	526049	6621356
736	526786	6620924
737	527515	6620392
738	528225	6619613
739	528973	6619313
740	529713	6618916
741	530446	6618425
742	531205	6618261
743	532016	6618737
744	532758	6618363
745	533481	6617740
746	534269	6617927
747	534977	6617132
748	535739	6616993
749	536474	6616518
750	537224	6616235
751	537914	6615199
752	538567	6613719
753	539260	6612740
754	539930	6611471
755	540566	6609784
756	541284	6609106
757	542028	6608744
758	542836	6609161
759	543615	6609216
760	544364	6608917
761	545096	6608406
762	545898	6608738
763	546662	6608610
764	547437	6608610
765	548175	6608167
766	549014	6608930
767	549781	6608832
768	550564	6608925
769	551311	6608577
770	552066	6608329
771	552835	6608251
772	553564	6607684
773	554290	6607091
774	555133	6607883
775	555946	6608309
776	556758	6608731
777	557601	6609517
778	558351	6609194
779	559231	6610402
780	560054	6610937
781	560961	6612462
782	561758	6612684
783	562834	6616181
784	563791	6618263
785	564700	6619783
786	565470	6619666
787	566248	6619647
788	567025	6619612
789	567818	6619752
790	568558	6619284
791	569420	6620237
792	570240	6620691
793	571037	6620868
794	571956	6622468
795	572993	6625421
796	574509	6633889
797	575675	6638297
798	576621	6640168
799	577705	6643610
800	578641	6645352
801	579678	6648237
802	580689	6650806
803	581671	6653049
804	582598	6654652
805	582943	6649602
806	583296	6644661
807	583600	6639173
808	584002	6634815
809	584344	6629785
810	584677	6624661
811	584963	6619025
812	585324	6614237
813	585663	6609214
814	586055	6604814
815	586416	6600061
816	586759	6595114
817	587166	6590907
818	587473	6585582
819	587816	6580676
820	588188	6576106
821	588599	6571975
822	588920	6566855
823	589295	6562349
824	589574	6556779
825	589939	6552179
826	590251	6547011
827	590562	6541834
828	590913	6537116
829	591249	6532242
830	591550	6526982
831	591946	6522797
832	592287	6518006
833	592622	6513162
834	592968	6508447
835	593273	6503303
836	593620	6498620
837	593931	6493554
838	594322	6489376
839	594703	6485104
840	595388	6484144
841	596360	6486307
842	597300	6488111
843	598324	6490833
844	599268	6492671
845	600185	6494209
846	601178	6496563
847	602104	6498187
848	603068	6500208
849	604035	6502263
850	604957	6503828
851	605848	6505046
852	606783	6506737
853	607796	6509261
854	608683	6510422
855	609683	6512791
856	610623	6514500
857	611571	6516297
858	612505	6517940
859	613404	6519205
860	614299	6520426
861	615051	6520119
862	615836	6520163
863	616616	6520144
864	617398	6520152
865	618131	6519648
866	618839	6518871
867	619533	6517952
868	620245	6517213
869	620968	6516598
870	621727	6516360
871	622448	6515727
872	623107	6514434
873	623768	6513171
874	624461	6512242
875	625124	6510997
876	625868	6510601
877	626522	6509266
878	627199	6508179
879	627936	6507700
880	628666	6507167
881	629390	6506552
882	630150	6506319
883	630847	6505441
884	631588	6505006
885	632293	6504205
886	633013	6503555
887	633759	6503176
888	634467	6502402
889	635214	6502025
890	635945	6501490
891	636708	6501274
892	637481	6501167
893	638255	6501066
894	638978	6500446
895	639703	6499842
896	640372	6498674
897	641071	6497811
898	641781	6497054
899	642498	6496370
900	643265	6496191
901	644035	6496049
902	644835	6496196
903	645594	6495937
904	646346	6495606
905	647024	6494526
906	647747	6493896
907	648491	6493488
908	649193	6492650
909	649892	6491787
910	650634	6491348
911	651412	6491263
912	652148	6490765
913	652865	6490079
914	653590	6489472
915	654337	6489083
916	655076	6488610
917	655835	6488342
918	656556	6487696
919	657276	6487037
920	658017	6486583
921	658718	6485730
922	659462	6485307
923	660157	6484406
924	660837	6483350
925	661583	6482948
926	662325	6482503
927	663049	6481878
928	663778	6481310
929	664534	6480993
930	665296	6480741
931	666017	6480088
932	666801	6480055
933	667535	6479527
934	668220	6478520
935	668988	6478322
936	669705	6477636
937	670389	6476620
938	671135	6476204
939	671853	6475525
940	672568	6474808
941	673303	6474291
942	674062	6474001
943	674765	6473172
944	675490	6472561
945	676228	6472065
946	676919	6471122
947	677670	6470747
948	678378	6469975
949	679095	6469280
950	679836	6468808
951	680563	6468215
952	681305	6467758
953	682036	6467192
954	682759	6466558
955	683459	6465701
956	684150	6464753
957	684860	6464000
958	685604	6463555
959	686358	6463206
960	687058	6462357
961	687770	6461613
962	688525	6461272
963	689262	6460759
964	689992	6460185
965	690704	6459449
966	691436	6458890
967	692208	6458706
968	692894	6457715
969	693657	6457453
970	694387	6456875
971	695129	6456411
972	695937	6456558
973	696693	6456215
974	697441	6455803
975	698141	6454950
976	698858	6454247
977	699614	6453910
978	700497	6454735
979	701296	6454792
980	702074	6454648
981	702812	6454138
982	703584	6453939
983	704388	6454034
984	704778	6450330
985	705118	6446188
986	705403	6441546
987	705728	6437274
988	706023	6432739
989	706341	6428422
990	706629	6423842
991	706929	6419375
992	707218	6414816
993	707537	6410549
994	707862	6406335
995	708183	6402093
996	708508	6397893
997	708808	6393477
998	709123	6389207
999	709441	6384976
1000	709761	6380761
1001	710074	6376493
1002	710389	6372255
1003	710747	6368411
1004	711102	6364546
1005	711384	6360035
1006	711683	6355681
1007	711984	6351356
1008	712287	6347055
1009	712604	6342881
1010	712878	6338341
1011	713203	6334261
1012	713528	6330190
1013	713823	6325859
1014	714162	6321917
1015	714499	6317978
1016	714782	6313559
1017	715142	6309834
1018	715491	6306019
1019	715838	6302188
1020	716189	6298400
1021	716501	6294275
1022	716805	6290093
1023	717127	6286074
1024	717433	6281922
1025	717771	6278054
1026	718086	6273988
1027	718357	6269559
1028	718678	6265560
1029	718979	6261402
1030	719329	6257678
1031	719631	6253540
1032	719960	6249643
1033	720267	6245572
1034	720547	6241259
1035	720868	6237319
1036	721175	6233263
1037	721522	6229562
1038	721860	6225784
1039	722183	6221892
1040	722498	6217925
1041	722885	6214598
1042	723256	6211128
1043	723707	6208352
1044	724532	6208788
1045	725289	6208643
1046	726006	6208150
1047	726668	6207191
1048	727353	6206427
1049	728075	6205980
1050	728802	6205567
1051	729574	6205545
1052	730259	6204782
1053	731011	6204585
1054	731772	6204458
1055	732551	6204490
1056	733333	6204538
1057	734088	6204364
1058	734872	6204434
1059	735704	6204905
1060	736531	6205329
1061	737343	6205625
1062	738105	6205504
1063	738886	6205539
1064	739735	6206141
1065	740494	6205979
1066	741286	6206104
1067	742010	6205655
1068	742797	6205727
1069	743539	6205423
1070	744275	6205072
1071	745051	6205057
1072	745815	6204930
1073	746578	6204802
1074	747332	6204595
1075	748081	6204346
1076	748802	6203867
1077	749621	6204198
1078	750362	6203875
1079	751180	6204196
1080	751967	6204252
1081	752702	6203878
1082	753480	6203863
1083	754224	6203566
1084	754937	6203010
1085	755719	6203023
1086	756465	6202737
1087	757221	6202536
1088	757985	6202398
1089	758712	6201951
1090	759425	6201396
1091	760188	6201243
1092	760903	6200699
1093	761668	6200567
1094	762399	6200150
1095	763090	6199411
1096	763816	6198956
1097	764552	6198583
1098	765335	6198590
1099	766112	6198544
1100	766799	6197774
1101	767906	6200391
1102	768794	6201240
1103	769645	6201780
1104	770396	6201520
1105	771151	6201288
1106	771888	6200908
1107	772599	6200323
1108	773348	6200035
1109	774098	6199763
1110	774856	6199545
1111	775741	6200353
1112	776536	6200428
1113	777436	6201346
1114	778312	6202069
1115	779086	6201978
1116	779876	6202006
1117	780592	6201447
1118	781350	6201227
1119	782160	6201415
1120	782917	6201180
1121	783674	6200943
1122	784436	6200747
1123	785194	6200522
1124	785962	6200368
1125	786727	6200195
1126	787506	6200128
1127	788452	6201374
1128	789310	6201922
1129	790162	6202424
1130	790985	6202694
1131	791927	6203895
1132	792668	6203526
1133	793410	6203155
1134	794185	6203047
1135	794900	6202461
1136	795701	6202554
1137	796489	6202541
1138	797259	6202387
1139	798028	6202217
1140	798900	6202855
1141	799682	6202794
1142	800390	6202149
1143	801192	6202242
1144	801960	6202062
1145	802758	6202115
1146	803565	6202239
1147	804303	6201826
1148	805063	6201584
1149	805826	6201359
1150	806651	6201615
1151	807576	6202633
1152	808439	6203178
1153	809356	6204132
1154	810090	6203680
1155	810950	6204194
1156	811757	6204294
1157	812550	6204295
1158	813349	6204336
1159	814183	6204637
1160	814985	6204701
1161	815751	6204487
1162	816534	6204401
1163	817284	6204060
1164	818087	6204121
1165	818956	6204682
1166	819804	6205087
1167	820631	6205325
1168	821468	6205633
1169	822258	6205595
1170	823048	6205549
1171	823869	6205730
1172	824704	6206024
1173	825593	6206717
1174	826352	6206434
1175	827142	6206378
1176	827986	6206730
1177	828814	6206963
1178	829676	6207446
1179	830487	6207542
1180	831299	6207646
1181	832151	6208049
1182	832987	6208325
1183	833765	6208172
1184	834576	6208260
1185	835399	6208440
1186	836260	6208902
1187	837069	6208968
1188	837868	6208963
1189	838667	6208956
1190	839442	6208770
1191	840263	6208929
1192	841043	6208774
1193	841872	6208982
1194	842692	6209125
1195	843552	6209564
1196	844371	6209694
1197	845180	6209747
1198	846036	6210148
1199	846849	6210228
1200	847601	6209862
1201	848385	6209729
1202	849177	6209657
1203	849934	6209319
1204	850736	6209320
1205	851502	6209050
1206	852289	6208931
1207	853115	6209100
1208	853967	6209450
1209	854736	6209203
1210	855468	6208679
1211	856270	6208664
1212	857047	6208468
1213	857861	6208541
1214	858602	6208086
1215	859387	6207940
1216	860164	6207742
1217	860887	6207152
1218	861653	6206877
1219	862384	6206339
1220	863108	6205755
1221	863885	6205553
1222	864655	6205302
1223	865484	6205469
1224	866198	6204809
1225	867108	6205556
1226	867936	6205713
1227	868701	6205411
1228	869471	6205155
1229	870308	6205367
1230	871098	6205253
1231	871826	6204687
1232	872628	6204651
1233	873429	6204602
1234	874207	6204393
1235	874926	6203763
1236	875730	6203737
1237	876545	6203792
1238	877362	6203850
1239	878158	6203762
1240	878925	6203474
1241	879794	6203898
1242	880689	6204505
1243	881543	6204816
1244	882289	6204371
1245	883109	6204443
